players_used,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,url,year,team
29,38,57,392,146,37.2,10.32,3.84,0.11,0.31,17.0,13,12,13,56.4,46.4,0.12,0.6,-1.4,/en/squads/2a8183b3/2020-2021/Villarreal-Stats,2020-2021,"(None, None)"
33,38,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8,/en/squads/8d6fd021/2021-2022/Alaves-Stats,2021-2022,"(None, None)"
26,38,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,49.6,44.0,0.1,-9.6,-7.0,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats,2021-2022,"(None, None)"
26,38,63,458,152,33.2,12.05,4.0,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,8.6,8.4,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats,2021-2022,"(None, None)"
38,38,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,4.6,4.1,/en/squads/206d90db/2021-2022/Barcelona-Stats,2021-2022,"(None, None)"
31,38,60,509,182,35.8,13.39,4.79,0.11,0.3,18.4,21,6,6,53.5,48.8,0.1,6.5,5.2,/en/squads/fc536746/2021-2022/Real-Betis-Stats,2021-2022,"(None, None)"
25,38,43,405,135,33.3,10.66,3.55,0.1,0.3,18.3,14,3,6,43.1,38.3,0.1,-0.1,1.7,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats,2021-2022,"(None, None)"
33,38,35,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,3,6,39.5,34.8,0.09,-4.5,-2.8,/en/squads/ee7c297c/2021-2022/Cadiz-Stats,2021-2022,"(None, None)"
28,38,39,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8,1,1,33.7,32.9,0.1,5.3,5.1,/en/squads/6c8b07df/2021-2022/Elche-Stats,2021-2022,"(None, None)"
34,38,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,5,5,36.7,32.9,0.08,2.3,1.1,/en/squads/a8661628/2021-2022/Espanyol-Stats,2021-2022,"(None, None)"
31,38,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,1.7,2.7,/en/squads/7848bd64/2021-2022/Getafe-Stats,2021-2022,"(None, None)"
32,38,43,421,131,31.1,11.08,3.45,0.1,0.31,19.2,12,3,5,39.0,35.1,0.09,4.0,4.9,/en/squads/a0435291/2021-2022/Granada-Stats,2021-2022,"(None, None)"
31,38,51,430,146,34.0,11.32,3.84,0.1,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1,/en/squads/9800b6a1/2021-2022/Levante-Stats,2021-2022,"(None, None)"
33,38,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3,/en/squads/2aa12281/2021-2022/Mallorca-Stats,2021-2022,"(None, None)"
29,38,37,425,114,26.8,11.18,3.0,0.07,0.27,19.6,11,6,8,36.7,30.7,0.07,0.3,0.3,/en/squads/03c57e2b/2021-2022/Osasuna-Stats,2021-2022,"(None, None)"
28,38,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats,2021-2022,"(None, None)"
31,38,80,645,243,37.7,16.97,6.39,0.11,0.3,18.8,21,8,12,71.7,62.2,0.1,8.3,9.8,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats,2021-2022,"(None, None)"
32,38,40,430,143,33.3,11.32,3.76,0.07,0.22,17.1,18,9,10,51.5,43.8,0.1,-11.5,-12.8,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats,2021-2022,"(None, None)"
33,38,51,430,139,32.3,11.32,3.66,0.11,0.35,17.0,10,2,3,42.4,40.0,0.09,8.6,9.0,/en/squads/ad2be733/2021-2022/Sevilla-Stats,2021-2022,"(None, None)"
34,38,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18,8,9,39.0,32.2,0.08,6.0,4.8,/en/squads/dcc91a7b/2021-2022/Valencia-Stats,2021-2022,"(None, None)"
29,38,62,449,164,36.5,11.82,4.32,0.13,0.35,15.3,8,5,6,64.2,60.0,0.14,-2.2,-3.0,/en/squads/2a8183b3/2021-2022/Villarreal-Stats,2021-2022,"(None, None)"
27,28,30,229,77,33.6,8.18,2.75,0.12,0.35,19.3,13,3,5,27.4,23.4,0.1,2.6,3.6,/en/squads/25622401/2019-2020/Amiens-Stats,2019-2020,"(None, None)"
26,28,27,363,113,31.1,12.96,4.04,0.07,0.23,19.2,16,1,1,29.3,28.5,0.08,-2.3,-2.5,/en/squads/69236f98/2019-2020/Angers-Stats,2019-2020,"(None, None)"
